S No,Player Name,Player_Type,Player_Speciality,Player Image,Total Impact,Impact/Match,Matches,Runs,Wickets,Batting Impact,Batting Impact/Innings,Batted Innings,Runs,Impact Runs,Bowling Impact,Bowling Impact per Match,Bowled Innings,Wickets,Impact Wickets
152,Aaron Hardie,Overseas,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
115,Abdul Samad,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/339100/339145.1.png",128.3,9.8,13,164,,130.3,10.8,12,164,160.9,#N/A,#N/A,#N/A,#N/A,#N/A
221,Abhinandan Singh,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
172,Abhinav Manohar,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399200/399248.2.png",-4.7,-0.6,8,61,,-4.7,-1,5,61,38.1,#N/A,#N/A,#N/A,#N/A,#N/A
23,Abhishek Sharma,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/358000/358037.1.png",524.7,37.4,14,439,,520.9,40,13,439,502.3,#N/A,#N/A,#N/A,#N/A,#N/A
67,Abishek Porel,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393400/393462.2.png",259.5,19.9,13,301,,259.5,19.9,13,301,307.1,#N/A,#N/A,#N/A,#N/A,#N/A
71,Adam Zampa,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/321500/321549.1.png",15.8,7.9,2,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,15.8,7.9,2,2,1.4
26,Aiden Markram,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322067.1.png",402.8,30.9,13,445,4,346.4,26.6,13,445,436.9,56.4,11.2,5,4,5.9
188,Ajay Mandal,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
102,Ajinkya Rahane,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316620.3.png",358,27.5,13,390,,358,29.8,12,390,402.6,#N/A,#N/A,#N/A,#N/A,#N/A
126,Akash Deep,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/356800/356814.1.png",90.3,15,6,6,3,13.7,6.8,2,6,8.9,76.5,12.7,6,3,4.3
70,Akash Madhwal,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381394.1.png",92.6,23.1,4,4,4,2.6,2.6,1,4,4,89.9,22.4,4,4,4.2
209,Akash Singh,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/299000/299091.5.png",168.4,56.1,3,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,168.4,56.1,3,4,6.5
25,Andre Russell,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316615.1.png",297.6,22.8,13,167,8,193.2,19.3,10,167,182.2,104.3,11.5,9,8,7.2
214,Andre Siddarth,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
181,Angkrish Raghuvanshi,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/345000/345093.1.png",227.5,18.9,12,300,,227.5,20.6,11,300,295.9,#N/A,#N/A,#N/A,#N/A,#N/A
195,Aniket Verma,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399200/399246.2.png",269.5,19.2,14,236,,269.5,22.4,12,236,283.2,#N/A,#N/A,#N/A,#N/A,#N/A
134,Anrich Nortje,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322080.1.png",13.8,6.9,2,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,13.8,6.9,2,1,1.5
225,Anshul Kamboj,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381389.1.png",211,26.3,8,14,8,8.2,1.6,5,14,9.9,202.8,25.3,8,8,10.7
223,Anuj Rawat,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
224,Anukul Roy,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/341000/341041.1.png",45.2,45.2,1,0,1,-1.1,-1.1,1,0,-1,46.3,46.3,1,1,1.5
161,Arjun Tendulkar,Indian,All Rounder,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
215,Arshad Khan,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398617.5.png",186.6,20.7,9,23,6,5.2,1,5,23,18.6,181.3,20.1,9,6,9
15,Arshdeep Singh,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390700/390798.5.png",563,33.1,17,2,21,1.3,0.6,2,2,2.2,561.7,35.1,16,21,23.4
191,Arshin Kulkarni,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
193,Aryan Juyal,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
148,Ashok Sharma,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
173,Ashutosh Sharma,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/380600/380694.1.png",228.4,17.5,13,204,,228.4,25.3,9,204,220.9,#N/A,#N/A,#N/A,#N/A,#N/A
203,Ashwani Kumar,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393400/393450.2.png",201.3,28.7,7,0,11,#N/A,#N/A,#N/A,#N/A,#N/A,201.3,28.7,7,11,14.3
111,Atharva Taide,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/358000/358044.1.png",10.7,10.7,1,13,,10.7,10.7,1,13,11.9,#N/A,#N/A,#N/A,#N/A,#N/A
43,Avesh Khan,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322200/322244.1.png",380.9,29.3,13,21,13,15.2,3.8,4,21,21,365.6,28.1,13,13,18.1
19,Axar Patel,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/331100/331164.2.png",485.6,40.4,12,263,5,264.2,24,11,263,278.1,221.4,20.1,11,5,8.1
74,Ayush Badoni,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/392000/392090.5.png",220.5,15.7,14,329,2,213.5,19.4,11,329,310.6,6.9,3.4,2,2,0.6
228,Ayush Mhatre,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390300/390331.2.png",250.7,35.8,7,240,,250.7,35.8,7,240,275.5,#N/A,#N/A,#N/A,#N/A,#N/A
72,Azmatullah Omarzai,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383200/383229.1.png",237.8,26.4,9,57,8,40.9,8.1,5,57,50.5,196.9,24.6,8,8,9.3
154,Bevon Jacobs,Overseas,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
63,Bhuvneshwar Kumar,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/392400/392400.2.png",512.5,36.6,14,14,17,-6.3,-1.1,6,14,-1.6,518.7,37,14,17,24.5
104,Brydon Carse,Overseas,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Chetan Sakariya,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/380600/380674.5.png",-7.6,-7.6,1,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Corbin Bosch,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393600/393647.2.png",59.2,19.7,3,47,1,47.1,23.5,2,47,49.5,12,6,2,1,0.3
153,Darshan Nalkande,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
87,David Miller,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316655.1.png",47.5,4.3,11,153,,47.5,4.3,11,153,114.8,#N/A,#N/A,#N/A,#N/A,#N/A
51,Deepak Chahar,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322700/322704.1.png",343.2,24.5,14,37,11,49,12.2,4,37,41.8,294.2,21,14,11,16.1
174,Deepak Hooda,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/345000/345083.1.png",-7.8,-1.2,7,31,,-3.9,-0.8,5,31,15.7,#N/A,#N/A,#N/A,#N/A,#N/A
140,Devdutt Padikkal,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322200/322229.1.png",224.9,22.4,10,247,,224.9,22.4,10,247,251.3,#N/A,#N/A,#N/A,#N/A,#N/A
83,Devon Conway,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383148.1.png",96.2,16,6,156,,96.2,16,6,156,138.4,#N/A,#N/A,#N/A,#N/A,#N/A
228,Dewald Brevis,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/335100/335134.1.png",259.8,43.3,6,225,,259.8,43.3,6,225,265.6,#N/A,#N/A,#N/A,#N/A,#N/A
68,Dhruv Jurel,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/340300/340310.1.png",240,17.1,14,333,,240,18.4,13,333,307.8,#N/A,#N/A,#N/A,#N/A,#N/A
228,Digvesh Rathi,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398608.5.png",494.6,38,13,1,14,0.6,0.3,2,1,1,493.9,37.9,13,14,19.5
207,Digvesh Singh,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
106,Donovan Ferreira,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/391700/391782.2.png",-6.7,-6.7,1,1,,-6.7,-6.7,1,1,-3.1,#N/A,#N/A,#N/A,#N/A,#N/A
147,Dushmantha Chameera,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/319800/319862.2.png",70.6,11.7,6,10,4,3.7,1.2,3,10,7.7,66.9,13.3,5,4,5.1
146,Eshan Malinga,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399200/399252.2.png",246.8,35.2,7,0,13,#N/A,#N/A,#N/A,#N/A,#N/A,246.8,35.2,7,13,12.8
94,Faf du Plessis,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316500/316559.1.png",134.5,14.9,9,202,,134.5,14.9,9,202,188.4,#N/A,#N/A,#N/A,#N/A,#N/A
116,Fazalhaq Farooqi,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383200/383236.1.png",-19.6,-4,5,2,,1.2,1.2,1,2,1.9,#N/A,#N/A,#N/A,#N/A,#N/A
65,Gerald Coetzee,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/348500/348579.1.png",81.5,20.3,4,17,2,24,12,2,17,21,57.4,14.3,4,2,3
50,Glenn Maxwell,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/389500/389563.5.png",137.4,19.6,7,48,4,-3.2,-0.6,6,48,32.7,140.5,23.4,6,4,5.7
76,Glenn Phillips,Overseas,All Rounder,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
204,Gurjapneet Singh,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
200,Gurnoor Brar,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,Hardik Pandya,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/388300/388343.5.png",372,24.8,15,224,14,146.4,12.2,12,224,211.9,225.6,16.1,14,14,17.2
212,Harnoor Singh,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
125,Harpreet Brar,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381368.1.png",293.6,36.7,8,11,10,10.2,5.1,2,11,10.4,283.4,40.4,7,10,13.3
113,Harry Brook,Overseas,Batter,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Harsh Dubey,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/401100/401146.2.png",96.6,32.2,3,0,5,#N/A,#N/A,#N/A,#N/A,#N/A,96.6,32.2,3,5,5.2
91,Harshal Patel,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381372.1.png",359.6,27.6,13,21,16,0.2,0,4,21,8,359.3,27.6,13,16,18.8
62,Harshit Rana,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/358000/358042.3.png",335,25.7,13,57,15,22.5,3.2,7,57,40.8,312.4,24,13,15,19.7
36,Heinrich Klaasen,Overseas,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322073.1.png",420.3,30,14,487,,420.3,32.3,13,487,518.8,#N/A,#N/A,#N/A,#N/A,#N/A
150,Himmat Singh,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/199700/199729.jpg",0,0,3,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
58,Ishan Kishan,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/331100/331165.1.png",232.3,16.5,14,354,,233.8,17.9,13,354,334.3,#N/A,#N/A,#N/A,#N/A,#N/A
117,Ishant Sharma,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316602.3.png",58.8,8.4,7,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,58.8,8.4,7,4,4.6
84,Jacob Bethell,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/388700/388704.5.png",63.6,31.8,2,67,,63.6,31.8,2,67,69.4,#N/A,#N/A,#N/A,#N/A,#N/A
97,Jake Fraser-McGurk,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/387500/387523.6.png",15.6,2.6,6,55,,15.6,2.6,6,55,40.4,#N/A,#N/A,#N/A,#N/A,#N/A
162,Jamie Overton,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/324200/324243.1.png",-9.5,-3.2,3,15,,19.6,9.8,2,15,16.7,#N/A,#N/A,#N/A,#N/A,#N/A
22,Jasprit Bumrah,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/319900/319940.2.png",502.8,41.9,12,0,18,#N/A,#N/A,#N/A,#N/A,#N/A,502.8,41.9,12,18,20.2
155,Jayant Yadav,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
123,Jaydev Unadkat,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399700/399715.2.png",201.1,28.7,7,0,11,#N/A,#N/A,#N/A,#N/A,#N/A,201.1,28.7,7,11,10.7
100,Jitesh Sharma,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/380600/380690.1.png",268.6,17.9,15,261,,268.6,24.4,11,261,270.2,#N/A,#N/A,#N/A,#N/A,#N/A
85,Jofra Archer,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383146.1.png",423.8,35.3,12,63,11,49.6,7,7,63,62,374.1,31.1,12,11,15
228,Jonny Bairstow,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383157.1.png",102.8,51.4,2,85,,102.8,51.4,2,85,95.7,#N/A,#N/A,#N/A,#N/A,#N/A
13,Jos Buttler,Overseas,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383143.1.png",488.2,34.8,14,538,,488.2,37.5,13,538,531.4,#N/A,#N/A,#N/A,#N/A,#N/A
98,Josh Hazlewood,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390900/390976.5.png",563.3,46.9,12,0,22,-0.5,-0.5,1,0,-1,563.7,46.9,12,22,30
127,Josh Inglis,Overseas,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/324200/324232.2.png",321.7,29.2,11,278,,321.7,29.2,11,278,311.6,#N/A,#N/A,#N/A,#N/A,#N/A
